,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),cluster_id
0,1,Male,19,15,39,Careful Spenders
1,2,Male,21,15,81,Risky Spenders
2,3,Female,20,16,6,Careful Spenders
3,4,Female,23,16,77,Risky Spenders
4,5,Female,31,17,40,Careful Spenders
5,6,Female,22,17,76,Risky Spenders
6,7,Female,35,18,6,Careful Spenders
7,8,Female,23,18,94,Risky Spenders
8,9,Male,64,19,3,Careful Spenders
9,10,Female,30,19,72,Risky Spenders
10,11,Male,67,19,14,Careful Spenders
11,12,Female,35,19,99,Risky Spenders
12,13,Female,58,20,15,Careful Spenders
13,14,Female,24,20,77,Risky Spenders
14,15,Male,37,20,13,Careful Spenders
15,16,Male,22,20,79,Risky Spenders
16,17,Female,35,21,35,Careful Spenders
17,18,Male,20,21,66,Risky Spenders
18,19,Male,52,23,29,Careful Spenders
19,20,Female,35,23,98,Risky Spenders
20,21,Male,35,24,35,Careful Spenders
21,22,Male,25,24,73,Risky Spenders
22,23,Female,46,25,5,Careful Spenders
23,24,Male,31,25,73,Risky Spenders
24,25,Female,54,28,14,Careful Spenders
25,26,Male,29,28,82,Risky Spenders
26,27,Female,45,28,32,Careful Spenders
27,28,Male,35,28,61,Risky Spenders
28,29,Female,40,29,31,Careful Spenders
29,30,Female,23,29,87,Risky Spenders
30,31,Male,60,30,4,Careful Spenders
31,32,Female,21,30,73,Risky Spenders
32,33,Male,53,33,4,Careful Spenders
33,34,Male,18,33,92,Risky Spenders
34,35,Female,49,33,14,Careful Spenders
35,36,Female,21,33,81,Risky Spenders
36,37,Female,42,34,17,Careful Spenders
37,38,Female,30,34,73,Risky Spenders
38,39,Female,36,37,26,Careful Spenders
39,40,Female,20,37,75,Risky Spenders
40,41,Female,65,38,35,Careful Spenders
41,42,Male,24,38,92,Risky Spenders
42,43,Male,48,39,36,Careful Spenders
43,44,Female,31,39,61,Average Spenders
44,45,Female,49,39,28,Careful Spenders
45,46,Female,24,39,65,Risky Spenders
46,47,Female,50,40,55,Average Spenders
47,48,Female,27,40,47,Average Spenders
48,49,Female,29,40,42,Average Spenders
49,50,Female,31,40,42,Average Spenders
50,51,Female,49,42,52,Average Spenders
51,52,Male,33,42,60,Average Spenders
52,53,Female,31,43,54,Average Spenders
53,54,Male,59,43,60,Average Spenders
54,55,Female,50,43,45,Average Spenders
55,56,Male,47,43,41,Average Spenders
56,57,Female,51,44,50,Average Spenders
57,58,Male,69,44,46,Average Spenders
58,59,Female,27,46,51,Average Spenders
59,60,Male,53,46,46,Average Spenders
60,61,Male,70,46,56,Average Spenders
61,62,Male,19,46,55,Average Spenders
62,63,Female,67,47,52,Average Spenders
63,64,Female,54,47,59,Average Spenders
64,65,Male,63,48,51,Average Spenders
65,66,Male,18,48,59,Average Spenders
66,67,Female,43,48,50,Average Spenders
67,68,Female,68,48,48,Average Spenders
68,69,Male,19,48,59,Average Spenders
69,70,Female,32,48,47,Average Spenders
70,71,Male,70,49,55,Average Spenders
71,72,Female,47,49,42,Average Spenders
72,73,Female,60,50,49,Average Spenders
73,74,Female,60,50,56,Average Spenders
74,75,Male,59,54,47,Average Spenders
75,76,Male,26,54,54,Average Spenders
76,77,Female,45,54,53,Average Spenders
77,78,Male,40,54,48,Average Spenders
78,79,Female,23,54,52,Average Spenders
79,80,Female,49,54,42,Average Spenders
80,81,Male,57,54,51,Average Spenders
81,82,Male,38,54,55,Average Spenders
82,83,Male,67,54,41,Average Spenders
83,84,Female,46,54,44,Average Spenders
84,85,Female,21,54,57,Average Spenders
85,86,Male,48,54,46,Average Spenders
86,87,Female,55,57,58,Average Spenders
87,88,Female,22,57,55,Average Spenders
88,89,Female,34,58,60,Average Spenders
89,90,Female,50,58,46,Average Spenders
90,91,Female,68,59,55,Average Spenders
91,92,Male,18,59,41,Average Spenders
92,93,Male,48,60,49,Average Spenders
93,94,Female,40,60,40,Average Spenders
94,95,Female,32,60,42,Average Spenders
95,96,Male,24,60,52,Average Spenders
96,97,Female,47,60,47,Average Spenders
97,98,Female,27,60,50,Average Spenders
98,99,Male,48,61,42,Average Spenders
99,100,Male,20,61,49,Average Spenders
100,101,Female,23,62,41,Average Spenders
101,102,Female,49,62,48,Average Spenders
102,103,Male,67,62,59,Average Spenders
103,104,Male,26,62,55,Average Spenders
104,105,Male,49,62,56,Average Spenders
105,106,Female,21,62,42,Average Spenders
106,107,Female,66,63,50,Average Spenders
107,108,Male,54,63,46,Average Spenders
108,109,Male,68,63,43,Average Spenders
109,110,Male,66,63,48,Average Spenders
110,111,Male,65,63,52,Average Spenders
111,112,Female,19,63,54,Average Spenders
112,113,Female,38,64,42,Average Spenders
113,114,Male,19,64,46,Average Spenders
114,115,Female,18,65,48,Average Spenders
115,116,Female,19,65,50,Average Spenders
116,117,Female,63,65,43,Average Spenders
117,118,Female,49,65,59,Average Spenders
118,119,Female,51,67,43,Average Spenders
119,120,Female,50,67,57,Average Spenders
120,121,Male,27,67,56,Average Spenders
121,122,Female,38,67,40,Average Spenders
122,123,Female,40,69,58,Average Spenders
123,124,Male,39,69,91,Heavy Spenders
124,125,Female,23,70,29,Miser Spenders
125,126,Female,31,70,77,Heavy Spenders
126,127,Male,43,71,35,Average Spenders
127,128,Male,40,71,95,Heavy Spenders
128,129,Male,59,71,11,Miser Spenders
129,130,Male,38,71,75,Heavy Spenders
130,131,Male,47,71,9,Miser Spenders
131,132,Male,39,71,75,Heavy Spenders
132,133,Female,25,72,34,Average Spenders
133,134,Female,31,72,71,Heavy Spenders
134,135,Male,20,73,5,Miser Spenders
135,136,Female,29,73,88,Heavy Spenders
136,137,Female,44,73,7,Miser Spenders
137,138,Male,32,73,73,Heavy Spenders
138,139,Male,19,74,10,Miser Spenders
139,140,Female,35,74,72,Heavy Spenders
140,141,Female,57,75,5,Miser Spenders
141,142,Male,32,75,93,Heavy Spenders
142,143,Female,28,76,40,Average Spenders
143,144,Female,32,76,87,Heavy Spenders
144,145,Male,25,77,12,Miser Spenders
145,146,Male,28,77,97,Heavy Spenders
146,147,Male,48,77,36,Miser Spenders
147,148,Female,32,77,74,Heavy Spenders
148,149,Female,34,78,22,Miser Spenders
149,150,Male,34,78,90,Heavy Spenders
150,151,Male,43,78,17,Miser Spenders
151,152,Male,39,78,88,Heavy Spenders
152,153,Female,44,78,20,Miser Spenders
153,154,Female,38,78,76,Heavy Spenders
154,155,Female,47,78,16,Miser Spenders
155,156,Female,27,78,89,Heavy Spenders
156,157,Male,37,78,1,Miser Spenders
157,158,Female,30,78,78,Heavy Spenders
158,159,Male,34,78,1,Miser Spenders
159,160,Female,30,78,73,Heavy Spenders
160,161,Female,56,79,35,Miser Spenders
161,162,Female,29,79,83,Heavy Spenders
162,163,Male,19,81,5,Miser Spenders
163,164,Female,31,81,93,Heavy Spenders
164,165,Male,50,85,26,Miser Spenders
165,166,Female,36,85,75,Heavy Spenders
166,167,Male,42,86,20,Miser Spenders
167,168,Female,33,86,95,Heavy Spenders
168,169,Female,36,87,27,Miser Spenders
169,170,Male,32,87,63,Heavy Spenders
170,171,Male,40,87,13,Miser Spenders
171,172,Male,28,87,75,Heavy Spenders
172,173,Male,36,87,10,Miser Spenders
173,174,Male,36,87,92,Heavy Spenders
174,175,Female,52,88,13,Miser Spenders
175,176,Female,30,88,86,Heavy Spenders
176,177,Male,58,88,15,Miser Spenders
177,178,Male,27,88,69,Heavy Spenders
178,179,Male,59,93,14,Miser Spenders
179,180,Male,35,93,90,Heavy Spenders
180,181,Female,37,97,32,Miser Spenders
181,182,Female,32,97,86,Heavy Spenders
182,183,Male,46,98,15,Miser Spenders
183,184,Female,29,98,88,Heavy Spenders
184,185,Female,41,99,39,Miser Spenders
185,186,Male,30,99,97,Heavy Spenders
186,187,Female,54,101,24,Miser Spenders
187,188,Male,28,101,68,Heavy Spenders
188,189,Female,41,103,17,Miser Spenders
189,190,Female,36,103,85,Heavy Spenders
190,191,Female,34,103,23,Miser Spenders
191,192,Female,32,103,69,Heavy Spenders
192,193,Male,33,113,8,Miser Spenders
193,194,Female,38,113,91,Heavy Spenders
194,195,Female,47,120,16,Miser Spenders
195,196,Female,35,120,79,Heavy Spenders
196,197,Female,45,126,28,Miser Spenders
197,198,Male,32,126,74,Heavy Spenders
198,199,Male,32,137,18,Miser Spenders
199,200,Male,30,137,83,Heavy Spenders
